,Name,Position,Research,BS/BA,MS,PhD
51,Anthony D. Joseph,Professor ,"['Operating Systems & Networking (OSNT)', 'Security (SEC)']",['NA'],['NA'],"[' \n                    1998, phd, computer science, mit']"
52,William M. Kahan,Professor Emeritus ,"['Computer Architecture & Engineering (ARC)', 'Scientific Computing (SCI)']","[' 1954, ba, mathematics, university of toronto\n                ']","[' \n                    1958, phd, mathematics, university of toronto', "" 1956, master's, mathematics, university of toronto"", ' 1954, ba, mathematics, university of toronto\n                ']","[' \n                    1958, phd, mathematics, university of toronto']"
53,Richard M. Karp,Professor Emeritus ,"['Biosystems & Computational Biology (BIO)', 'Operating Systems & Networking (OSNT)', 'Theory (THY)']",['NA'],"[' \n                    1959, phd, applied mathematics, harvard', ' 1956, sm, applied mathematics, harvard', ' 1955, ab, mathematics, harvard\n                ']","[' \n                    1959, phd, applied mathematics, harvard']"
54,Randy H. Katz,Professor ,"['Computer Architecture & Engineering (ARC)', 'Operating Systems & Networking (OSNT)']",['NA'],"[' 1978, ms, computer science, uc berkeley', ' 1976, ab, computer science & math, cornell university\n                ']","[' \n                    1980, phd, computer science, uc berkeley']"
55,Daniel Klein,Professor ,['Artificial Intelligence (AI)'],"[' 1998, ba, math, cs, linguistics, cornell university\n                ']","[' \n                    2004, ms/phd, computer science, stanford university', ' 1999, mst, linguistics, oxford university', ' 1998, ba, math, cs, linguistics, cornell university\n                ']","[' \n                    2004, ms/phd, computer science, stanford university']"
56,John D. Kubiatowicz,Professor ,"['Operating Systems & Networking (OSNT)', 'Security (SEC)']","[' 1987, bs, ee and physics, mit\n                ']","[' 1993, ms, electrical engineering and computer science, mit']","[' \n                    1998, phd, electrical engineering and computer science (minor in physics), mit']"
57,Edward A. Lee,"Professor Emeritus , Professor in the Graduate School","['Cyber-Physical Systems and Design Automation (CPSDA)', 'Programming Systems (PS)', 'Signal Processing (SP)', 'Computer Architecture & Engineering (ARC)', 'Information, Data, Network, and Communication Sciences (IDNCS)', 'Design, Modeling and Analysis (DMA)']","[' 1979, bs, cs and eng & applied science, yale\n                ']",['NA'],"[' \n                    1986, phd, eecs, uc berkeley']"
58,Sergey Levine,Assistant Professor ,"['Artificial Intelligence (AI)', 'Control, Intelligent Systems, and Robotics (CIR)']","[' 2009, bs/ms, computer science, stanford university\n                \n                \n                                ']","[' 2009, bs/ms, computer science, stanford university\n                \n                \n                                ']","[' \n                    2014, phd, computer science, stanford university']"
59,Jennifer Listgarten,Professor ,"['Biosystems & Computational Biology (BIO)', 'Artificial Intelligence (AI)']",['NA'],['NA'],"[' \n                    2007, phd, computer science, university of toronto\n                \n                \n                                ']"
60,Michael Lustig,Associate Professor ,"['Signal Processing (SP)', 'Scientific Computing (SCI)', 'Physical Electronics (PHY)', 'Information, Data, Network, and Communication Sciences (IDNCS)', 'Biosystems & Computational Biology (BIO)', 'Control, Intelligent Systems, and Robotics (CIR)', 'Artificial Intelligence (AI)', 'Computer Architecture & Engineering (ARC)', 'Database Management Systems (DBMS)', 'Design, Modeling and Analysis (DMA)', 'Energy (ENE)', 'Graphics (GR)', 'Human-Computer Interaction (HCI)', 'Integrated Circuits (INC)', 'Micro/Nano Electro Mechanical Systems (MEMS)', 'Operating Systems & Networking (OSNT)', 'Programming Systems (PS)', 'Security (SEC)']","[' 2001, bsc, ee, technion, iit\n                ']","[' 2004, msc, ee, stanford university']","[' \n                    2008, phd, ee, stanford university']"
61,Jitendra Malik,Professor ,"['Artificial Intelligence (AI)', 'Biosystems & Computational Biology (BIO)', 'Control, Intelligent Systems, and Robotics (CIR)', 'Graphics (GR)', 'Human-Computer Interaction (HCI)', 'Signal Processing (SP)']",['NA'],['NA'],"[' 1975, phd, computer science, stanford university\n                ']"
62,Jelani Nelson,Professor ,"['Theory (THY)', 'Database Management Systems (DBMS)']",['NA'],"[' 2005, sb, computer science, mathematics, mit\n                \n                \n                                ']","[' \n                    2011, phd, computer science, mit']"
63,Ren Ng,Assistant Professor ,"['Graphics (GR)', 'Signal Processing (SP)', 'Artificial Intelligence (AI)']","[' 2001, bs, mathematical and computational science, stanford university\n                ']","[' 2006, ms, computer science, stanford university', ' 2001, bs, mathematical and computational science, stanford university\n                ']","[' \n                    2006, phd, computer science, stanford university']"
64,James O'Brien,Professor ,"['Graphics (GR)', 'Human-Computer Interaction (HCI)', 'Scientific Computing (SCI)']","[' 1992, bs, computer science, florida international university\n                ']","[' 1997, ms, computer science, georgia institute of technology']","[' \n                    2000, phd, computer science, georgia institute of technology']"
65,Christos Papadimitriou,Professor Emeritus ,"['Biosystems & Computational Biology (BIO)', 'Theory (THY)']",N/A,N/A,N/A
66,Aditya Parameswaran,Assistant Professor ,"['Database Management Systems (DBMS)', 'Human-Computer Interaction (HCI)']","[' 2007, btech, computer science and engineering, iit bombay\n                ']",['NA'],"[' \n                    2013, phd, computer science, stanford']"
67,Beresford N. Parlett,Professor Emeritus ,[],N/A,N/A,N/A
68,David A. Patterson,"Professor Emeritus , Professor in the Graduate School","['Computer Architecture & Engineering (ARC)', 'Operating Systems & Networking (OSNT)']",['NA'],"[' 1970, ms, computer science, ucla', ' 1969, ab, mathematics, ucla\n                ']","[' \n                    1976, phd, computer science, ucla']"
69,Eric Paulos,Associate Professor ,['Human-Computer Interaction (HCI)'],N/A,N/A,N/A
70,Vern Paxson,Professor ,"['Security (SEC)', 'Operating Systems & Networking (OSNT)']",N/A,N/A,N/A
71,Kristofer Pister,Professor ,"['Micro/Nano Electro Mechanical Systems (MEMS)', 'Control, Intelligent Systems, and Robotics (CIR)', 'Integrated Circuits (INC)']","[' 1986, ba, applied physics, uc san diego\n                ']","[' 1989, ms, eecs, uc berkeley']","[' \n                    1992, phd, eecs, uc berkeley']"
72,Raluca Ada Popa,Assistant Professor ,"['Operating Systems & Networking (OSNT)', 'Security (SEC)']","["" 2009, bachelor's degree, computer science and mathematics, massachusetts institute of technology\n                ""]","[' \n                    2014, doctor of philosophy, computer science, massachusetts institute of technology', ' 2010, masters of engineering, computer science, massachusetts institute of technology', "" 2009, bachelor's degree, computer science and mathematics, massachusetts institute of technology\n                ""]",['NA']
73,Jonathan Ragan-Kelley,Assistant Professor ,"['Graphics (GR)', 'Programming Systems (PS)', 'Computer Architecture & Engineering (ARC)']","[' 2004, bs, computer science, stanford university\n                \n                ']","[' \n                    2014, phd, electrical engineering & computer science, massachusetts institute of technology', ' 2007, sm, electrical engineering & computer science, massachusetts institute of technology']","[' \n                    2014, phd, electrical engineering & computer science, massachusetts institute of technology']"
74,Prasad Raghavendra,Associate Professor ,['Theory (THY)'],"[' 2005, bs, computer science, indian institute of technology , madras, india\n                ']","[' 2007, ms, computer science and engineering, university of washington, seattle', ' 2005, bs, computer science, indian institute of technology , madras, india\n                ']","[' \n                    2009, phd, computer science and engineering, university of washington, seattle']"
75,Kannan Ramchandran,Professor ,"['Information, Data, Network, and Communication Sciences (IDNCS)', 'Signal Processing (SP)', 'Control, Intelligent Systems, and Robotics (CIR)']",['NA'],"[' 1984, ms, computer science, columbia university']","[' \n                    1993, phd, computer science, columbia university']"
76,Satish Rao,Professor ,"['Biosystems & Computational Biology (BIO)', 'Theory (THY)']",N/A,N/A,N/A
77,Sylvia Ratnasamy,Professor ,['Operating Systems & Networking (OSNT)'],N/A,N/A,N/A
78,Benjamin Recht,Associate Professor ,"['Artificial Intelligence (AI)', 'Control, Intelligent Systems, and Robotics (CIR)', 'Signal Processing (SP)']",N/A,N/A,N/A
79,Lawrence A. Rowe,Professor Emeritus ,[],"[' 1970, ba, mathematics, university of california, irvine\n                \n                \n                                \n                ']","[' \n                    1976, phd, information and computer science, university of california, irvine', ' 1970, ba, mathematics, university of california, irvine\n                \n                \n                                \n                ']","[' \n                    1976, phd, information and computer science, university of california, irvine']"
80,Jaijeet Roychowdhury,Professor ,"['Artificial Intelligence (AI)', 'Cyber-Physical Systems and Design Automation (CPSDA)', 'Computer Architecture & Engineering (ARC)', 'Control, Intelligent Systems, and Robotics (CIR)']",['NA'],"[' 1989, ms, eecs, berkeley']","[' \n                    1993, phd, eecs, berkeley']"
81,Stuart J. Russell,Professor ,"['Artificial Intelligence (AI)', 'Control, Intelligent Systems, and Robotics (CIR)', 'Biosystems & Computational Biology (BIO)']","[' 1982, ba hons (1st class), physics, oxford university\n                \n                \n                                ']",['NA'],"[' \n                    1986, phd, computer science, stanford university']"
82,Anant Sahai,Professor ,"['Information, Data, Network, and Communication Sciences (IDNCS)', 'Artificial Intelligence (AI)', 'Control, Intelligent Systems, and Robotics (CIR)', 'Theory (THY)', 'Signal Processing (SP)']","[' 1994, bs, eecs, university of california, berkeley\n                ']","[' \n                    2001, phd, eecs, massachusetts institute of technology', ' 1996, sm, eecs, massachusetts institute of technology']","[' \n                    2001, phd, eecs, massachusetts institute of technology']"
83,Niloufar Salehi,Below The Line Assistant Professor ,['Human-Computer Interaction (HCI)'],['NA'],['NA'],"[' \n                    2019, phd, computer science, stanford university\n                \n                \n                                \n                ']"
84,Koushik Sen,Professor ,"['Programming Systems (PS)', 'Security (SEC)']",N/A,N/A,N/A
85,Carlo H. SÃ©quin,Professor Emeritus ,"['Graphics (GR)', 'Human-Computer Interaction (HCI)']","[' \n                    1969, phd, experimental physics, university of basel, switzerland\n                ']",['NA'],"[' \n                    1969, phd, experimental physics, university of basel, switzerland\n                ']"
86,Sanjit A. Seshia,Professor ,"['Cyber-Physical Systems and Design Automation (CPSDA)', 'Programming Systems (PS)', 'Artificial Intelligence (AI)', 'Control, Intelligent Systems, and Robotics (CIR)', 'Security (SEC)', 'Theory (THY)']",N/A,N/A,N/A
87,Sophia Shao,Assistant Professor ,"['Computer Architecture & Engineering (ARC)', 'Integrated Circuits (INC)', 'Cyber-Physical Systems and Design Automation (CPSDA)']",['NA'],['NA'],"[' \n                    2016, phd, computer science, harvard university\n                ']"
88,Scott Shenker,Professor ,['Operating Systems & Networking (OSNT)'],['NA'],['NA'],"[' \n                    1983, phd, physics, university of chicago']"
89,Jonathan Shewchuk,Professor ,"['Scientific Computing (SCI)', 'Theory (THY)', 'Graphics (GR)']",N/A,N/A,N/A
90,Alistair Sinclair,Professor ,['Theory (THY)'],N/A,N/A,N/A
91,Alan J. Smith,Professor Emeritus ,"['Computer Architecture & Engineering (ARC)', 'Operating Systems & Networking (OSNT)']",N/A,N/A,N/A
92,Dawn Song,Professor ,"['Artificial Intelligence (AI)', 'Operating Systems & Networking (OSNT)', 'Security (SEC)', 'Programming Systems (PS)']",['NA'],"[' 1999, ms, computer science, carnegie mellon university\n                \n                \n                                ']","[' \n                    2002, phd, computer science, uc berkeley']"
93,Yun S. Song,Professor ,"['Biosystems & Computational Biology (BIO)', 'Theory (THY)']",N/A,N/A,N/A
94,Costas J. Spanos,Professor ,"['Energy (ENE)', 'Integrated Circuits (INC)', 'Physical Electronics (PHY)']",N/A,N/A,N/A
95,Jacob Steinhardt,Below The Line Assistant Professor ,"['Artificial Intelligence (AI)', 'Information, Data, Network, and Communication Sciences (IDNCS)']","[' 2012, bsc, mathematics, mit\n                \n                \n                                \n                ']","[' 2012, bsc, mathematics, mit\n                \n                \n                                \n                ']","[' \n                    2018, phd, computer science, stanford']"
96,Ion Stoica,Professor ,"['Operating Systems & Networking (OSNT)', 'Security (SEC)']",['NA'],"[' 1989, ms, computer science and control engineering, polytechnic university bucharest\n                ']","[' \n                    2000, phd, electrical and computer engineering, carnegie mellon university']"
97,Michael Stonebraker,Professor Emeritus ,[],"[' 1965, bse, electrical engineering, princeton\n                \n                \n                                \n                ']","[' \n                    1971, phd, computer, information and control engineering, university of michigan', ' 1966, mse, electrical engineering, university of michigan']","[' \n                    1971, phd, computer, information and control engineering, university of michigan']"
98,Bernd Sturmfels,Professor ,"['Biosystems & Computational Biology (BIO)', 'Theory (THY)']",N/A,N/A,N/A
99,Avishay Tal,Assistant Professor ,['Theory (THY)'],['NA'],"[' \n                    2015, phd, computer science, weizmann institute of science\n                \n                \n                                ']","[' \n                    2015, phd, computer science, weizmann institute of science\n                \n                \n                                ']"
100,Claire Tomlin,Professor ,"['Control, Intelligent Systems, and Robotics (CIR)', 'Biosystems & Computational Biology (BIO)']","[' 1992, basc, electrical engineering, university of waterloo\n                ']","[' 1993, msc, electrical engineering, imperial college, london']","[' \n                    1998, phd, eecs, uc berkeley']"
101,Luca Trevisan,Professor ,"['Theory (THY)', 'Security (SEC)']",['NA'],['NA'],"[' \n                    1997, phd, computer science, sapienza university of rome\n                ']"
102,Umesh Vazirani,Professor ,"['Theory (THY)', 'Security (SEC)']","[' 1981, bs, mit\n                \n                ']",['NA'],"[' \n                    1986, phd, computer science, uc berkeley']"
103,David Wagner,Professor ,['Security (SEC)'],N/A,N/A,N/A
104,Martin Wainwright,Professor ,"['Artificial Intelligence (AI)', 'Control, Intelligent Systems, and Robotics (CIR)', 'Information, Data, Network, and Communication Sciences (IDNCS)', 'Signal Processing (SP)', 'Theory (THY)']",N/A,N/A,N/A
105,Laura Waller,Associate Professor ,"['Physical Electronics (PHY)', 'Signal Processing (SP)', 'Biosystems & Computational Biology (BIO)', 'Graphics (GR)']","[' 2004, bs, electrical engineering and computer science, mit\n                ']",['NA'],"[' \n                    2010, phd, electrical engineering and computer science, mit']"
106,Jean Walrand,Professor Emeritus ,"['Information, Data, Network, and Communication Sciences (IDNCS)']",N/A,N/A,N/A
107,John Wawrzynek,Professor ,"['Computer Architecture & Engineering (ARC)', 'Design, Modeling and Analysis (DMA)']",N/A,N/A,N/A
108,Nicholas Weaver,Lecturer ,"['Operating Systems & Networking (OSNT)', 'Security (SEC)']","[' 1995, ba, astrophysics & computer science, uc berkeley\n                ']",['NA'],"[' \n                    2003, phd, computer science, uc berkeley']"
109,Katherine A. Yelick,Professor ,"['Programming Systems (PS)', 'Scientific Computing (SCI)', 'Biosystems & Computational Biology (BIO)']","[' 1982, bs, eecs, mit\n                \n                ']",['NA'],"[' \n                    1991, phd, eecs, mit']"
110,Nir Yosef,Associate Professor ,['Biosystems & Computational Biology (BIO)'],N/A,N/A,N/A
111,Bin Yu,Professor ,['Signal Processing (SP)'],"[' 1984, bs, mathematics, peking university\n                \n                \n                                \n                ']","[' 1987, ma, statistics, university of california, berkeley', ' 1984, bs, mathematics, peking university\n                \n                \n                                \n                ']","[' \n                    1990, phd, statistics, university of california, berkeley']"
